ANNOSCOLASTICO,PROVINCIA,TIPOSUPPLENZA,FASCIAETA,ATASUPPLENTIMASCHI,ATASUPPLENTIFEMMINE
201617,TRIESTE,ANNUALE,OLTRE 54,0,5
201617,GROSSETO,ANNUALE,TRA 35 E 44,0,2
201617,OLBIA-TEMPIO,ANNUALE,TRA 35 E 44,0,7
201617,VICENZA,FINO AL TERMINE,TRA 45 E 54,30,101
201617,CATANZARO,FINO AL TERMINE,OLTRE 54,17,30
201617,PAVIA,ANNUALE,OLTRE 54,1,2
201617,LA SPEZIA,FINO AL TERMINE,TRA 35 E 44,1,4
201617,BRINDISI,ANNUALE,OLTRE 54,9,12
201617,ANCONA,FINO AL TERMINE,TRA 35 E 44,10,20
201617,RIMINI,FINO AL TERMINE,TRA 45 E 54,7,39
201617,BARLETTA-ADRIA-TRANI,FINO AL TERMINE,OLTRE 54,13,12
201617,CALTANISSETTA,FINO AL TERMINE,FINO A 34,1,1
201617,FROSINONE,ANNUALE,TRA 45 E 54,3,19
201617,MACERATA,FINO AL TERMINE,OLTRE 54,18,28
201617,MASSA,FINO AL TERMINE,TRA 45 E 54,6,27
201617,TERNI,FINO AL TERMINE,FINO A 34,2,1
201617,SONDRIO,ANNUALE,TRA 45 E 54,2,4
201617,GORIZIA,FINO AL TERMINE,TRA 35 E 44,5,16
201617,LECCE,ANNUALE,TRA 45 E 54,5,3
201617,POTENZA,FINO AL TERMINE,TRA 45 E 54,25,56
201617,BIELLA,FINO AL TERMINE,OLTRE 54,7,8
201617,BENEVENTO,FINO AL TERMINE,OLTRE 54,20,31
201617,BIELLA,FINO AL TERMINE,FINO A 34,12,19
201617,ASTI,ANNUALE,OLTRE 54,4,1
201617,ROMA,FINO AL TERMINE,TRA 35 E 44,91,202
201617,SALERNO,ANNUALE,FINO A 34,1,1
201617,VENEZIA,FINO AL TERMINE,FINO A 34,26,43
201617,CROTONE,FINO AL TERMINE,OLTRE 54,5,10
201617,CUNEO,FINO AL TERMINE,TRA 45 E 54,17,96
201617,NUORO,FINO AL TERMINE,TRA 35 E 44,0,1
201617,L'AQUILA,FINO AL TERMINE,TRA 35 E 44,1,3
201617,BOLOGNA,FINO AL TERMINE,TRA 45 E 54,38,105
201617,NUORO,ANNUALE,FINO A 34,2,0
201617,FROSINONE,ANNUALE,FINO A 34,0,1
201617,ORISTANO,FINO AL TERMINE,TRA 45 E 54,3,12
201617,TRIESTE,FINO AL TERMINE,TRA 45 E 54,7,31
201617,BRESCIA,FINO AL TERMINE,FINO A 34,40,40
201617,NOVARA,FINO AL TERMINE,TRA 35 E 44,15,27
201617,POTENZA,ANNUALE,TRA 45 E 54,5,5
201617,ENNA,ANNUALE,TRA 45 E 54,0,1
201617,SALERNO,ANNUALE,OLTRE 54,4,11
201617,MONZA E BRIANZA,ANNUALE,TRA 45 E 54,2,0
201617,PALERMO,ANNUALE,FINO A 34,1,0
201617,CUNEO,ANNUALE,TRA 45 E 54,3,17
201617,REGGIO EMILIA,FINO AL TERMINE,OLTRE 54,8,21
201617,L'AQUILA,FINO AL TERMINE,FINO A 34,0,2
201617,BARLETTA-ADRIA-TRANI,FINO AL TERMINE,TRA 35 E 44,4,7
201617,GENOVA,ANNUALE,OLTRE 54,0,3
201617,CAGLIARI,ANNUALE,OLTRE 54,6,17
201617,FERMO,FINO AL TERMINE,OLTRE 54,3,16
201617,SIENA,FINO AL TERMINE,TRA 45 E 54,12,16
201617,MILANO,ANNUALE,OLTRE 54,20,16
201617,OGLIASTRA,FINO AL TERMINE,TRA 45 E 54,2,10
201617,REGGIO CALABRIA,ANNUALE,TRA 35 E 44,1,0
201617,AREZZO,FINO AL TERMINE,OLTRE 54,7,21
201617,TREVISO,FINO AL TERMINE,TRA 45 E 54,17,121
201617,FIRENZE,ANNUALE,FINO A 34,3,4
201617,BRINDISI,FINO AL TERMINE,OLTRE 54,13,18
201617,BERGAMO,FINO AL TERMINE,FINO A 34,28,34
201617,VENEZIA,FINO AL TERMINE,TRA 35 E 44,33,58
201617,NUORO,FINO AL TERMINE,TRA 45 E 54,7,23
201617,MEDIO-CAMPITANO,FINO AL TERMINE,TRA 35 E 44,0,1
201617,LECCO,FINO AL TERMINE,OLTRE 54,2,11
201617,LODI,ANNUALE,FINO A 34,2,1
201617,RAGUSA,FINO AL TERMINE,FINO A 34,0,2
201617,CAMPOBASSO,FINO AL TERMINE,TRA 45 E 54,17,28
201617,CARBONIA-IGLESIAS,FINO AL TERMINE,TRA 35 E 44,0,2
201617,VICENZA,FINO AL TERMINE,FINO A 34,27,41
201617,SIENA,FINO AL TERMINE,TRA 35 E 44,7,11
201617,GENOVA,FINO AL TERMINE,OLTRE 54,7,29
201617,GENOVA,ANNUALE,TRA 35 E 44,1,7
201617,OGLIASTRA,FINO AL TERMINE,TRA 35 E 44,0,2
201617,MACERATA,FINO AL TERMINE,TRA 45 E 54,22,31
201617,IMPERIA,ANNUALE,OLTRE 54,1,3
201617,ENNA,FINO AL TERMINE,OLTRE 54,10,8
201617,TRAPANI,FINO AL TERMINE,TRA 45 E 54,3,16
201617,ROVIGO,ANNUALE,TRA 35 E 44,0,3
201617,FERMO,ANNUALE,OLTRE 54,2,8
201617,RAVENNA,ANNUALE,FINO A 34,2,2
201617,LUCCA,FINO AL TERMINE,TRA 45 E 54,7,57
201617,VICENZA,FINO AL TERMINE,OLTRE 54,13,27
201617,BERGAMO,ANNUALE,FINO A 34,6,3
201617,PAVIA,FINO AL TERMINE,FINO A 34,12,13
201617,CATANIA,FINO AL TERMINE,TRA 35 E 44,15,20
201617,LATINA,ANNUALE,TRA 45 E 54,2,10
201617,RIETI,FINO AL TERMINE,TRA 45 E 54,9,42
201617,SIENA,FINO AL TERMINE,FINO A 34,16,16
201617,MILANO,FINO AL TERMINE,FINO A 34,115,114
201617,VITERBO,FINO AL TERMINE,TRA 35 E 44,7,14
201617,GENOVA,ANNUALE,FINO A 34,0,1
201617,PIACENZA,ANNUALE,FINO A 34,0,2
201617,ASTI,ANNUALE,FINO A 34,1,1
201617,AGRIGENTO,FINO AL TERMINE,TRA 35 E 44,1,3
201617,TERNI,FINO AL TERMINE,TRA 45 E 54,3,30
201617,GORIZIA,FINO AL TERMINE,TRA 45 E 54,4,35
201617,LUCCA,FINO AL TERMINE,TRA 35 E 44,3,6
201617,CROTONE,ANNUALE,TRA 35 E 44,0,2
201617,RAVENNA,ANNUALE,OLTRE 54,3,4
201617,BARI,FINO AL TERMINE,OLTRE 54,32,50
201617,BIELLA,ANNUALE,FINO A 34,0,4
201617,PARMA,ANNUALE,TRA 45 E 54,3,3
201617,CATANIA,FINO AL TERMINE,FINO A 34,4,4
201617,FERRARA,ANNUALE,FINO A 34,2,2
201617,PAVIA,ANNUALE,FINO A 34,5,3
201617,SALERNO,ANNUALE,TRA 45 E 54,7,10
201617,PESCARA,ANNUALE,OLTRE 54,5,7
201617,L'AQUILA,FINO AL TERMINE,TRA 45 E 54,18,42
201617,FIRENZE,FINO AL TERMINE,OLTRE 54,13,28
201617,VICENZA,ANNUALE,TRA 45 E 54,3,15
201617,RIMINI,FINO AL TERMINE,FINO A 34,14,16
201617,REGGIO CALABRIA,FINO AL TERMINE,TRA 45 E 54,35,36
201617,VITERBO,ANNUALE,TRA 35 E 44,1,3
201617,ISERNIA,FINO AL TERMINE,TRA 45 E 54,3,7
201617,CATANIA,ANNUALE,OLTRE 54,2,23
201617,PESARO E URBINO,FINO AL TERMINE,OLTRE 54,15,28
201617,AVELLINO,ANNUALE,TRA 45 E 54,1,17
201617,BRESCIA,FINO AL TERMINE,OLTRE 54,20,33
201617,COSENZA,FINO AL TERMINE,OLTRE 54,21,28
201617,RIETI,FINO AL TERMINE,OLTRE 54,3,14
201617,LIVORNO,ANNUALE,TRA 45 E 54,3,6
201617,REGGIO CALABRIA,FINO AL TERMINE,TRA 35 E 44,1,5
201617,CARBONIA-IGLESIAS,FINO AL TERMINE,OLTRE 54,2,21
201617,CAMPOBASSO,FINO AL TERMINE,FINO A 34,2,4
201617,CAGLIARI,FINO AL TERMINE,FINO A 34,0,2
201617,RIMINI,ANNUALE,OLTRE 54,1,6
201617,OGLIASTRA,FINO AL TERMINE,OLTRE 54,0,3
201617,IMPERIA,FINO AL TERMINE,TRA 35 E 44,6,6
201617,MACERATA,FINO AL TERMINE,FINO A 34,8,6
201617,TERNI,ANNUALE,FINO A 34,1,0
201617,ROVIGO,FINO AL TERMINE,TRA 45 E 54,6,30
201617,BRESCIA,ANNUALE,FINO A 34,4,5
201617,VERCELLI,FINO AL TERMINE,FINO A 34,10,25
201617,NAPOLI,ANNUALE,OLTRE 54,40,30
201617,CATANZARO,FINO AL TERMINE,TRA 45 E 54,16,32
201617,CHIETI,ANNUALE,TRA 45 E 54,0,8
201617,PALERMO,FINO AL TERMINE,TRA 45 E 54,67,72
201617,LA SPEZIA,FINO AL TERMINE,FINO A 34,1,1
201617,ANCONA,FINO AL TERMINE,FINO A 34,7,7
201617,CARBONIA-IGLESIAS,FINO AL TERMINE,TRA 45 E 54,2,7
201617,BARLETTA-ADRIA-TRANI,FINO AL TERMINE,TRA 45 E 54,13,32
201617,VERBANO-CUSIO-OSSOLA,FINO AL TERMINE,TRA 35 E 44,9,22
201617,IMPERIA,FINO AL TERMINE,FINO A 34,1,3
201617,VIBO VALENTIA,FINO AL TERMINE,TRA 35 E 44,0,1
201617,FERRARA,FINO AL TERMINE,TRA 45 E 54,12,46
201617,MANTOVA,FINO AL TERMINE,OLTRE 54,6,11
201617,PIACENZA,FINO AL TERMINE,TRA 35 E 44,7,26
201617,TRIESTE,ANNUALE,FINO A 34,0,2
201617,AVELLINO,FINO AL TERMINE,FINO A 34,5,1
201617,GORIZIA,FINO AL TERMINE,FINO A 34,1,5
201617,LUCCA,FINO AL TERMINE,OLTRE 54,3,30
201617,CROTONE,ANNUALE,OLTRE 54,4,1
201617,POTENZA,FINO AL TERMINE,TRA 35 E 44,5,6
201617,MESSINA,FINO AL TERMINE,FINO A 34,1,2
201617,VERONA,ANNUALE,TRA 35 E 44,3,4
201617,BERGAMO,ANNUALE,TRA 35 E 44,3,8
201617,ASTI,ANNUALE,TRA 45 E 54,1,3
201617,SAVONA,FINO AL TERMINE,TRA 45 E 54,11,29
201617,ROVIGO,FINO AL TERMINE,OLTRE 54,5,16
201617,VENEZIA,ANNUALE,OLTRE 54,1,5
201617,CROTONE,FINO AL TERMINE,TRA 45 E 54,14,12
201617,NUORO,ANNUALE,OLTRE 54,3,0
201617,CUNEO,FINO AL TERMINE,TRA 35 E 44,31,60
201617,CASERTA,FINO AL TERMINE,FINO A 34,4,10
201617,CREMONA,FINO AL TERMINE,FINO A 34,10,16
201617,BOLOGNA,FINO AL TERMINE,TRA 35 E 44,44,94
201617,ORISTANO,FINO AL TERMINE,TRA 35 E 44,1,2
201617,PERUGIA,ANNUALE,TRA 45 E 54,5,18
201617,MACERATA,ANNUALE,OLTRE 54,2,5
201617,TERNI,FINO AL TERMINE,OLTRE 54,1,39
201617,ORISTANO,FINO AL TERMINE,OLTRE 54,11,20
201617,BRESCIA,ANNUALE,OLTRE 54,5,5
201617,BELLUNO,FINO AL TERMINE,FINO A 34,19,23
201617,VICENZA,FINO AL TERMINE,TRA 35 E 44,26,80
201617,NOVARA,FINO AL TERMINE,FINO A 34,33,50
201617,VERONA,FINO AL TERMINE,TRA 45 E 54,11,56
201617,PADOVA,FINO AL TERMINE,FINO A 34,25,44
201617,ASCOLI PICENO,FINO AL TERMINE,OLTRE 54,7,22
201617,VARESE,ANNUALE,TRA 35 E 44,0,3
201617,PAVIA,ANNUALE,TRA 45 E 54,1,7
201617,GROSSETO,FINO AL TERMINE,OLTRE 54,1,14
201617,SAVONA,ANNUALE,TRA 45 E 54,1,3
201617,COSENZA,ANNUALE,TRA 45 E 54,19,11
201617,OLBIA-TEMPIO,FINO AL TERMINE,OLTRE 54,1,10
201617,TERAMO,ANNUALE,OLTRE 54,1,1
201617,LIVORNO,FINO AL TERMINE,FINO A 34,5,7
201617,MASSA,ANNUALE,TRA 45 E 54,1,3
201617,CATANZARO,ANNUALE,TRA 45 E 54,5,7
201617,RIMINI,FINO AL TERMINE,TRA 35 E 44,21,26
201617,GENOVA,ANNUALE,TRA 45 E 54,6,16
201617,SIENA,ANNUALE,TRA 35 E 44,3,5
201617,VIBO VALENTIA,ANNUALE,TRA 45 E 54,1,2
201617,MILANO,ANNUALE,TRA 45 E 54,34,41
201617,PIACENZA,ANNUALE,OLTRE 54,0,3
201617,AREZZO,FINO AL TERMINE,TRA 45 E 54,6,35
201617,BOLOGNA,ANNUALE,TRA 45 E 54,3,6
201617,PESCARA,FINO AL TERMINE,TRA 45 E 54,7,30
201617,TREVISO,FINO AL TERMINE,TRA 35 E 44,28,63
201617,LECCE,ANNUALE,FINO A 34,1,0
201617,OLBIA-TEMPIO,FINO AL TERMINE,TRA 35 E 44,1,8
201617,PADOVA,ANNUALE,OLTRE 54,5,6
201617,GROSSETO,FINO AL TERMINE,TRA 45 E 54,4,30
201617,AVELLINO,ANNUALE,OLTRE 54,6,5
201617,SIENA,ANNUALE,FINO A 34,0,1
201617,LODI,FINO AL TERMINE,OLTRE 54,0,12
201617,PESCARA,ANNUALE,TRA 35 E 44,1,0
201617,LECCO,FINO AL TERMINE,TRA 45 E 54,4,31
201617,CREMONA,FINO AL TERMINE,TRA 35 E 44,8,42
201617,COMO,FINO AL TERMINE,TRA 45 E 54,8,52
201617,LIVORNO,ANNUALE,OLTRE 54,2,5
201617,NOVARA,FINO AL TERMINE,OLTRE 54,4,8
201617,CAMPOBASSO,FINO AL TERMINE,TRA 35 E 44,4,5
201617,VERBANO-CUSIO-OSSOLA,ANNUALE,FINO A 34,0,1
201617,VITERBO,FINO AL TERMINE,FINO A 34,5,6
201617,SASSARI,ANNUALE,TRA 35 E 44,0,3
201617,MACERATA,FINO AL TERMINE,TRA 35 E 44,6,8
201617,MANTOVA,ANNUALE,TRA 45 E 54,2,9
201617,ENNA,FINO AL TERMINE,TRA 45 E 54,5,10
201617,BOLOGNA,ANNUALE,TRA 35 E 44,9,6
201617,BELLUNO,FINO AL TERMINE,TRA 45 E 54,16,24
201617,GORIZIA,ANNUALE,OLTRE 54,0,2
201617,POTENZA,FINO AL TERMINE,OLTRE 54,23,43
201617,SONDRIO,FINO AL TERMINE,TRA 45 E 54,13,29
201617,PADOVA,ANNUALE,TRA 45 E 54,3,9
201617,LATINA,ANNUALE,TRA 35 E 44,2,2
201617,ASTI,FINO AL TERMINE,OLTRE 54,3,11
201617,FOGGIA,FINO AL TERMINE,FINO A 34,4,1
201617,REGGIO EMILIA,ANNUALE,OLTRE 54,2,1
201617,RIETI,FINO AL TERMINE,TRA 35 E 44,1,1
201617,MANTOVA,ANNUALE,TRA 35 E 44,0,4
201617,SIRACUSA,FINO AL TERMINE,TRA 35 E 44,1,5
201617,TORINO,FINO AL TERMINE,TRA 45 E 54,66,195
201617,MONZA E BRIANZA,FINO AL TERMINE,FINO A 34,30,35
201617,SONDRIO,FINO AL TERMINE,TRA 35 E 44,3,8
201617,BRINDISI,FINO AL TERMINE,TRA 45 E 54,7,22
201617,VIBO VALENTIA,FINO AL TERMINE,OLTRE 54,5,6
201617,MESSINA,FINO AL TERMINE,OLTRE 54,8,53
201617,ISERNIA,FINO AL TERMINE,OLTRE 54,4,9
201617,PIACENZA,FINO AL TERMINE,TRA 45 E 54,11,30
201617,TORINO,ANNUALE,OLTRE 54,10,15
201617,BERGAMO,FINO AL TERMINE,OLTRE 54,15,55
201617,ASCOLI PICENO,ANNUALE,TRA 45 E 54,0,6
201617,PISTOIA,FINO AL TERMINE,FINO A 34,11,24
201617,CHIETI,FINO AL TERMINE,FINO A 34,0,2
201617,SALERNO,ANNUALE,TRA 35 E 44,0,1
201617,AREZZO,ANNUALE,OLTRE 54,4,3
201617,CASERTA,FINO AL TERMINE,OLTRE 54,67,70
201617,MONZA E BRIANZA,ANNUALE,TRA 35 E 44,1,4
201617,LA SPEZIA,FINO AL TERMINE,OLTRE 54,1,15
201617,CATANZARO,ANNUALE,FINO A 34,1,0
201617,PALERMO,FINO AL TERMINE,FINO A 34,3,2
201617,ALESSANDRIA,FINO AL TERMINE,OLTRE 54,9,21
201617,ROMA,FINO AL TERMINE,OLTRE 54,73,164
201617,RAGUSA,ANNUALE,OLTRE 54,6,5
201617,FIRENZE,FINO AL TERMINE,TRA 45 E 54,34,49
201617,CARBONIA-IGLESIAS,ANNUALE,OLTRE 54,1,1
201617,CAGLIARI,ANNUALE,TRA 45 E 54,3,13
201617,CALTANISSETTA,FINO AL TERMINE,TRA 45 E 54,10,3
201617,FROSINONE,FINO AL TERMINE,FINO A 34,1,1
201617,IMPERIA,ANNUALE,TRA 45 E 54,1,9
201617,SONDRIO,FINO AL TERMINE,FINO A 34,4,5
201617,AVELLINO,ANNUALE,TRA 35 E 44,1,1
201617,CHIETI,ANNUALE,OLTRE 54,1,16
201617,SAVONA,FINO AL TERMINE,FINO A 34,6,4
201617,LECCO,ANNUALE,TRA 35 E 44,2,3
201617,COMO,ANNUALE,FINO A 34,0,2
201617,BARI,FINO AL TERMINE,FINO A 34,2,3
201617,LA SPEZIA,ANNUALE,OLTRE 54,1,2
201617,CAMPOBASSO,ANNUALE,OLTRE 54,2,1
201617,SIENA,ANNUALE,OLTRE 54,2,3
201617,TRAPANI,FINO AL TERMINE,OLTRE 54,3,7
201617,ROVIGO,FINO AL TERMINE,TRA 35 E 44,0,14
201617,TERNI,FINO AL TERMINE,TRA 35 E 44,0,1
201617,SONDRIO,ANNUALE,FINO A 34,2,1
201617,BELLUNO,ANNUALE,TRA 45 E 54,1,4
201617,NAPOLI,FINO AL TERMINE,TRA 45 E 54,134,304
201617,PISTOIA,ANNUALE,TRA 45 E 54,4,5
201617,PRATO,FINO AL TERMINE,FINO A 34,4,10
201617,CHIETI,ANNUALE,TRA 35 E 44,2,2
201617,PESCARA,ANNUALE,TRA 45 E 54,2,3
201617,PALERMO,FINO AL TERMINE,TRA 35 E 44,17,14
201617,CUNEO,FINO AL TERMINE,FINO A 34,27,59
201617,TREVISO,ANNUALE,OLTRE 54,1,2
201617,ANCONA,FINO AL TERMINE,OLTRE 54,7,37
201617,REGGIO EMILIA,FINO AL TERMINE,TRA 45 E 54,19,75
201617,RAVENNA,FINO AL TERMINE,OLTRE 54,8,21
201617,VIBO VALENTIA,ANNUALE,OLTRE 54,2,4
201617,ISERNIA,ANNUALE,OLTRE 54,1,3
201617,PIACENZA,FINO AL TERMINE,FINO A 34,9,32
201617,FIRENZE,ANNUALE,OLTRE 54,4,4
201617,UDINE,ANNUALE,FINO A 34,1,6
201617,VERBANO-CUSIO-OSSOLA,FINO AL TERMINE,OLTRE 54,4,10
201617,CROTONE,ANNUALE,TRA 45 E 54,1,4
201617,BERGAMO,FINO AL TERMINE,TRA 45 E 54,30,102
201617,PISA,FINO AL TERMINE,TRA 45 E 54,9,42
201617,CATANIA,ANNUALE,TRA 45 E 54,8,23
201617,PESARO E URBINO,FINO AL TERMINE,TRA 45 E 54,24,50
201617,MEDIO-CAMPITANO,FINO AL TERMINE,OLTRE 54,2,7
201617,LODI,ANNUALE,TRA 45 E 54,2,8
201617,SALERNO,FINO AL TERMINE,TRA 45 E 54,46,110
201617,MATERA,FINO AL TERMINE,OLTRE 54,9,22
201617,CREMONA,ANNUALE,OLTRE 54,0,3
201617,LIVORNO,ANNUALE,TRA 35 E 44,1,0
201617,REGGIO EMILIA,FINO AL TERMINE,TRA 35 E 44,22,73
201617,FORLI'-CESENA,ANNUALE,OLTRE 54,2,2
201617,PERUGIA,ANNUALE,TRA 35 E 44,0,1
201617,LECCE,FINO AL TERMINE,OLTRE 54,41,57
201617,RAVENNA,ANNUALE,TRA 45 E 54,2,4
201617,BELLUNO,ANNUALE,OLTRE 54,1,1
201617,PIACENZA,FINO AL TERMINE,OLTRE 54,6,14
201617,PRATO,FINO AL TERMINE,TRA 45 E 54,6,29
201617,PISA,ANNUALE,TRA 45 E 54,1,9
201617,VARESE,ANNUALE,FINO A 34,2,6
201617,ROMA,ANNUALE,TRA 45 E 54,24,72
201617,LATINA,FINO AL TERMINE,FINO A 34,4,2
201617,LECCO,ANNUALE,OLTRE 54,3,0
201617,COMO,ANNUALE,TRA 45 E 54,1,6
201617,ALESSANDRIA,ANNUALE,TRA 35 E 44,0,3
201617,MEDIO-CAMPITANO,ANNUALE,FINO A 34,1,0
201617,TERAMO,ANNUALE,TRA 45 E 54,1,3
201617,MASSA,ANNUALE,TRA 35 E 44,0,1
201617,PORDENONE,FINO AL TERMINE,TRA 45 E 54,7,48
201617,CATANZARO,ANNUALE,TRA 35 E 44,1,1
201617,CAMPOBASSO,ANNUALE,TRA 45 E 54,3,4
201617,TARANTO,FINO AL TERMINE,TRA 45 E 54,20,43
201617,FOGGIA,ANNUALE,TRA 45 E 54,1,1
201617,RAGUSA,FINO AL TERMINE,TRA 45 E 54,11,29
201617,REGGIO EMILIA,ANNUALE,TRA 35 E 44,0,5
201617,VITERBO,FINO AL TERMINE,OLTRE 54,12,15
201617,FERRARA,FINO AL TERMINE,TRA 35 E 44,16,37
201617,PIACENZA,ANNUALE,TRA 45 E 54,2,4
201617,AGRIGENTO,FINO AL TERMINE,OLTRE 54,2,4
201617,MESSINA,ANNUALE,OLTRE 54,9,16
201617,RAVENNA,FINO AL TERMINE,TRA 35 E 44,14,40
201617,PARMA,ANNUALE,TRA 35 E 44,0,4
201617,FERRARA,ANNUALE,TRA 45 E 54,1,8
201617,SAVONA,FINO AL TERMINE,TRA 35 E 44,11,9
201617,SALERNO,FINO AL TERMINE,OLTRE 54,47,121
201617,CASERTA,ANNUALE,OLTRE 54,8,4
201617,COMO,FINO AL TERMINE,TRA 35 E 44,13,29
201617,CALTANISSETTA,FINO AL TERMINE,OLTRE 54,2,7
201617,AREZZO,ANNUALE,FINO A 34,0,2
201617,PORDENONE,ANNUALE,TRA 45 E 54,2,7
201617,MODENA,FINO AL TERMINE,TRA 35 E 44,51,69
201617,CAGLIARI,FINO AL TERMINE,OLTRE 54,17,53
201617,TARANTO,ANNUALE,TRA 45 E 54,11,12
201617,CALTANISSETTA,ANNUALE,OLTRE 54,3,2
201617,REGGIO EMILIA,ANNUALE,FINO A 34,3,2
201617,VITERBO,ANNUALE,OLTRE 54,2,6
201617,AGRIGENTO,ANNUALE,FINO A 34,1,0
201617,SASSARI,ANNUALE,FINO A 34,2,1
201617,MATERA,FINO AL TERMINE,FINO A 34,1,0
201617,ISERNIA,ANNUALE,TRA 35 E 44,0,1
201617,MANTOVA,FINO AL TERMINE,TRA 45 E 54,4,24
201617,UDINE,ANNUALE,TRA 45 E 54,5,11
201617,SONDRIO,ANNUALE,TRA 35 E 44,0,3
201617,GORIZIA,ANNUALE,TRA 45 E 54,0,2
201617,VERONA,FINO AL TERMINE,TRA 35 E 44,28,58
201617,SASSARI,FINO AL TERMINE,OLTRE 54,7,28
201617,ASTI,FINO AL TERMINE,TRA 45 E 54,8,24
201617,BARLETTA-ADRIA-TRANI,ANNUALE,TRA 35 E 44,1,4
201617,CASERTA,ANNUALE,TRA 45 E 54,11,12
201617,COSENZA,ANNUALE,TRA 35 E 44,0,3
201617,CALTANISSETTA,ANNUALE,TRA 35 E 44,2,0
201617,CAGLIARI,FINO AL TERMINE,TRA 45 E 54,16,52
201617,ORISTANO,ANNUALE,OLTRE 54,1,3
201617,IMPERIA,FINO AL TERMINE,OLTRE 54,4,12
201617,SIRACUSA,FINO AL TERMINE,FINO A 34,2,2
201617,TERNI,ANNUALE,OLTRE 54,0,7
201617,MASSA,FINO AL TERMINE,TRA 35 E 44,1,4
201617,TERAMO,FINO AL TERMINE,TRA 35 E 44,1,6
201617,PERUGIA,FINO AL TERMINE,TRA 45 E 54,43,61
201617,MESSINA,FINO AL TERMINE,TRA 45 E 54,13,38
201617,OLBIA-TEMPIO,FINO AL TERMINE,FINO A 34,2,2
201617,UDINE,FINO AL TERMINE,OLTRE 54,8,35
201617,TORINO,ANNUALE,TRA 45 E 54,23,35
201617,CATANZARO,FINO AL TERMINE,TRA 35 E 44,3,3
201617,BENEVENTO,FINO AL TERMINE,TRA 45 E 54,15,41
201617,BIELLA,ANNUALE,OLTRE 54,0,1
201617,GROSSETO,FINO AL TERMINE,TRA 35 E 44,2,7
201617,LATINA,FINO AL TERMINE,TRA 45 E 54,25,57
201617,PISTOIA,ANNUALE,OLTRE 54,1,2
201617,CASERTA,ANNUALE,TRA 35 E 44,1,2
201617,ALESSANDRIA,ANNUALE,OLTRE 54,1,5
201617,CASERTA,FINO AL TERMINE,TRA 45 E 54,66,104
201617,MONZA E BRIANZA,ANNUALE,FINO A 34,3,0
